dataset,instancia,n,R,archivo
uniforme-alta,ALTA-65,65,130,instancias/uniforme-alta/ALTA-65.txt
uniforme-alta,ALTA-66,66,132,instancias/uniforme-alta/ALTA-66.txt
uniforme-alta,ALTA-67,67,134,instancias/uniforme-alta/ALTA-67.txt
uniforme-alta,ALTA-68,68,136,instancias/uniforme-alta/ALTA-68.txt
uniforme-alta,ALTA-69,69,138,instancias/uniforme-alta/ALTA-69.txt
uniforme-alta,ALTA-70,70,140,instancias/uniforme-alta/ALTA-70.txt
uniforme-alta,ALTA-71,71,142,instancias/uniforme-alta/ALTA-71.txt
uniforme-alta,ALTA-72,72,144,instancias/uniforme-alta/ALTA-72.txt
uniforme-alta,ALTA-73,73,146,instancias/uniforme-alta/ALTA-73.txt
uniforme-alta,ALTA-74,74,148,instancias/uniforme-alta/ALTA-74.txt
uniforme-alta,ALTA-75,75,150,instancias/uniforme-alta/ALTA-75.txt
uniforme-alta,ALTA-76,76,152,instancias/uniforme-alta/ALTA-76.txt
uniforme-alta,ALTA-77,77,154,instancias/uniforme-alta/ALTA-77.txt
uniforme-alta,ALTA-78,78,156,instancias/uniforme-alta/ALTA-78.txt
uniforme-alta,ALTA-79,79,158,instancias/uniforme-alta/ALTA-79.txt
uniforme-alta,ALTA-80,80,160,instancias/uniforme-alta/ALTA-80.txt
uniforme-alta,ALTA-81,81,162,instancias/uniforme-alta/ALTA-81.txt
uniforme-alta,ALTA-82,82,164,instancias/uniforme-alta/ALTA-82.txt
uniforme-alta,ALTA-83,83,166,instancias/uniforme-alta/ALTA-83.txt
uniforme-alta,ALTA-84,84,168,instancias/uniforme-alta/ALTA-84.txt
uniforme-alta,ALTA-85,85,170,instancias/uniforme-alta/ALTA-85.txt
uniforme-alta,ALTA-86,86,172,instancias/uniforme-alta/ALTA-86.txt
uniforme-alta,ALTA-87,87,174,instancias/uniforme-alta/ALTA-87.txt
uniforme-alta,ALTA-88,88,176,instancias/uniforme-alta/ALTA-88.txt
uniforme-alta,ALTA-89,89,178,instancias/uniforme-alta/ALTA-89.txt
uniforme-alta,ALTA-90,90,180,instancias/uniforme-alta/ALTA-90.txt
uniforme-alta,ALTA-91,91,182,instancias/uniforme-alta/ALTA-91.txt
uniforme-alta,ALTA-92,92,184,instancias/uniforme-alta/ALTA-92.txt
uniforme-alta,ALTA-93,93,186,instancias/uniforme-alta/ALTA-93.txt
uniforme-alta,ALTA-94,94,188,instancias/uniforme-alta/ALTA-94.txt
uniforme-alta,ALTA-95,95,190,instancias/uniforme-alta/ALTA-95.txt
uniforme-alta,ALTA-96,96,192,instancias/uniforme-alta/ALTA-96.txt
uniforme-alta,ALTA-97,97,194,instancias/uniforme-alta/ALTA-97.txt
uniforme-alta,ALTA-98,98,196,instancias/uniforme-alta/ALTA-98.txt
uniforme-alta,ALTA-99,99,198,instancias/uniforme-alta/ALTA-99.txt
uniforme-alta,ALTA-100,100,200,instancias/uniforme-alta/ALTA-100.txt
uniforme-alta,ALTA-101,101,202,instancias/uniforme-alta/ALTA-101.txt
uniforme-alta,ALTA-102,102,204,instancias/uniforme-alta/ALTA-102.txt
uniforme-alta,ALTA-103,103,206,instancias/uniforme-alta/ALTA-103.txt
uniforme-alta,ALTA-104,104,208,instancias/uniforme-alta/ALTA-104.txt
uniforme-alta,ALTA-105,105,210,instancias/uniforme-alta/ALTA-105.txt
uniforme-alta,ALTA-106,106,212,instancias/uniforme-alta/ALTA-106.txt
uniforme-alta,ALTA-107,107,214,instancias/uniforme-alta/ALTA-107.txt
uniforme-alta,ALTA-108,108,216,instancias/uniforme-alta/ALTA-108.txt
uniforme-alta,ALTA-109,109,218,instancias/uniforme-alta/ALTA-109.txt
uniforme-alta,ALTA-110,110,220,instancias/uniforme-alta/ALTA-110.txt
uniforme-alta,ALTA-111,111,222,instancias/uniforme-alta/ALTA-111.txt
uniforme-alta,ALTA-112,112,224,instancias/uniforme-alta/ALTA-112.txt
uniforme-alta,ALTA-113,113,226,instancias/uniforme-alta/ALTA-113.txt
uniforme-alta,ALTA-114,114,228,instancias/uniforme-alta/ALTA-114.txt
uniforme-alta,ALTA-115,115,230,instancias/uniforme-alta/ALTA-115.txt
uniforme-alta,ALTA-116,116,232,instancias/uniforme-alta/ALTA-116.txt
uniforme-alta,ALTA-117,117,234,instancias/uniforme-alta/ALTA-117.txt
uniforme-alta,ALTA-118,118,236,instancias/uniforme-alta/ALTA-118.txt
uniforme-alta,ALTA-119,119,238,instancias/uniforme-alta/ALTA-119.txt
uniforme-alta,ALTA-120,120,240,instancias/uniforme-alta/ALTA-120.txt
uniforme-alta,ALTA-121,121,242,instancias/uniforme-alta/ALTA-121.txt
uniforme-alta,ALTA-122,122,244,instancias/uniforme-alta/ALTA-122.txt
uniforme-alta,ALTA-123,123,246,instancias/uniforme-alta/ALTA-123.txt
uniforme-alta,ALTA-124,124,248,instancias/uniforme-alta/ALTA-124.txt
uniforme-alta,ALTA-125,125,250,instancias/uniforme-alta/ALTA-125.txt
uniforme-alta,ALTA-126,126,252,instancias/uniforme-alta/ALTA-126.txt
uniforme-alta,ALTA-127,127,254,instancias/uniforme-alta/ALTA-127.txt
uniforme-alta,ALTA-128,128,256,instancias/uniforme-alta/ALTA-128.txt
uniforme-alta,ALTA-129,129,258,instancias/uniforme-alta/ALTA-129.txt
uniforme-alta,ALTA-130,130,260,instancias/uniforme-alta/ALTA-130.txt
uniforme-alta,ALTA-131,131,262,instancias/uniforme-alta/ALTA-131.txt
uniforme-alta,ALTA-132,132,264,instancias/uniforme-alta/ALTA-132.txt
uniforme-alta,ALTA-133,133,266,instancias/uniforme-alta/ALTA-133.txt
uniforme-alta,ALTA-134,134,268,instancias/uniforme-alta/ALTA-134.txt
uniforme-alta,ALTA-135,135,270,instancias/uniforme-alta/ALTA-135.txt
uniforme-alta,ALTA-136,136,272,instancias/uniforme-alta/ALTA-136.txt
uniforme-alta,ALTA-137,137,274,instancias/uniforme-alta/ALTA-137.txt
uniforme-alta,ALTA-138,138,276,instancias/uniforme-alta/ALTA-138.txt
uniforme-alta,ALTA-139,139,278,instancias/uniforme-alta/ALTA-139.txt
uniforme-alta,ALTA-140,140,280,instancias/uniforme-alta/ALTA-140.txt
uniforme-alta,ALTA-141,141,282,instancias/uniforme-alta/ALTA-141.txt
uniforme-alta,ALTA-142,142,284,instancias/uniforme-alta/ALTA-142.txt
uniforme-alta,ALTA-143,143,286,instancias/uniforme-alta/ALTA-143.txt
uniforme-alta,ALTA-144,144,288,instancias/uniforme-alta/ALTA-144.txt
uniforme-alta,ALTA-145,145,290,instancias/uniforme-alta/ALTA-145.txt
uniforme-alta,ALTA-146,146,292,instancias/uniforme-alta/ALTA-146.txt
uniforme-alta,ALTA-147,147,294,instancias/uniforme-alta/ALTA-147.txt
uniforme-alta,ALTA-148,148,296,instancias/uniforme-alta/ALTA-148.txt
uniforme-alta,ALTA-149,149,298,instancias/uniforme-alta/ALTA-149.txt
uniforme-alta,ALTA-150,150,300,instancias/uniforme-alta/ALTA-150.txt
uniforme-alta,ALTA-151,151,302,instancias/uniforme-alta/ALTA-151.txt
uniforme-alta,ALTA-152,152,304,instancias/uniforme-alta/ALTA-152.txt
uniforme-alta,ALTA-153,153,306,instancias/uniforme-alta/ALTA-153.txt
uniforme-alta,ALTA-154,154,308,instancias/uniforme-alta/ALTA-154.txt
uniforme-alta,ALTA-155,155,310,instancias/uniforme-alta/ALTA-155.txt
uniforme-alta,ALTA-156,156,312,instancias/uniforme-alta/ALTA-156.txt
uniforme-alta,ALTA-157,157,314,instancias/uniforme-alta/ALTA-157.txt
uniforme-alta,ALTA-158,158,316,instancias/uniforme-alta/ALTA-158.txt
uniforme-alta,ALTA-159,159,318,instancias/uniforme-alta/ALTA-159.txt
uniforme-alta,ALTA-160,160,320,instancias/uniforme-alta/ALTA-160.txt
uniforme-alta,ALTA-161,161,322,instancias/uniforme-alta/ALTA-161.txt
uniforme-alta,ALTA-162,162,324,instancias/uniforme-alta/ALTA-162.txt
uniforme-alta,ALTA-163,163,326,instancias/uniforme-alta/ALTA-163.txt
uniforme-alta,ALTA-164,164,328,instancias/uniforme-alta/ALTA-164.txt
uniforme-alta,ALTA-165,165,330,instancias/uniforme-alta/ALTA-165.txt
uniforme-alta,ALTA-166,166,332,instancias/uniforme-alta/ALTA-166.txt
uniforme-alta,ALTA-167,167,334,instancias/uniforme-alta/ALTA-167.txt
uniforme-alta,ALTA-168,168,336,instancias/uniforme-alta/ALTA-168.txt
uniforme-alta,ALTA-169,169,338,instancias/uniforme-alta/ALTA-169.txt
uniforme-alta,ALTA-170,170,340,instancias/uniforme-alta/ALTA-170.txt
uniforme-alta,ALTA-171,171,342,instancias/uniforme-alta/ALTA-171.txt
uniforme-alta,ALTA-172,172,344,instancias/uniforme-alta/ALTA-172.txt
uniforme-alta,ALTA-173,173,346,instancias/uniforme-alta/ALTA-173.txt
uniforme-alta,ALTA-174,174,348,instancias/uniforme-alta/ALTA-174.txt
uniforme-alta,ALTA-175,175,350,instancias/uniforme-alta/ALTA-175.txt
uniforme-alta,ALTA-176,176,352,instancias/uniforme-alta/ALTA-176.txt
uniforme-alta,ALTA-177,177,354,instancias/uniforme-alta/ALTA-177.txt
uniforme-alta,ALTA-178,178,356,instancias/uniforme-alta/ALTA-178.txt
uniforme-alta,ALTA-179,179,358,instancias/uniforme-alta/ALTA-179.txt
uniforme-alta,ALTA-180,180,360,instancias/uniforme-alta/ALTA-180.txt
uniforme-alta,ALTA-181,181,362,instancias/uniforme-alta/ALTA-181.txt
uniforme-alta,ALTA-182,182,364,instancias/uniforme-alta/ALTA-182.txt
uniforme-alta,ALTA-183,183,366,instancias/uniforme-alta/ALTA-183.txt
uniforme-alta,ALTA-184,184,368,instancias/uniforme-alta/ALTA-184.txt
uniforme-alta,ALTA-185,185,370,instancias/uniforme-alta/ALTA-185.txt
uniforme-alta,ALTA-186,186,372,instancias/uniforme-alta/ALTA-186.txt
uniforme-alta,ALTA-187,187,374,instancias/uniforme-alta/ALTA-187.txt
uniforme-alta,ALTA-188,188,376,instancias/uniforme-alta/ALTA-188.txt
uniforme-alta,ALTA-189,189,378,instancias/uniforme-alta/ALTA-189.txt
uniforme-alta,ALTA-190,190,380,instancias/uniforme-alta/ALTA-190.txt
uniforme-alta,ALTA-191,191,382,instancias/uniforme-alta/ALTA-191.txt
uniforme-alta,ALTA-192,192,384,instancias/uniforme-alta/ALTA-192.txt
uniforme-alta,ALTA-193,193,386,instancias/uniforme-alta/ALTA-193.txt
uniforme-alta,ALTA-194,194,388,instancias/uniforme-alta/ALTA-194.txt
uniforme-alta,ALTA-195,195,390,instancias/uniforme-alta/ALTA-195.txt
uniforme-alta,ALTA-196,196,392,instancias/uniforme-alta/ALTA-196.txt
uniforme-alta,ALTA-197,197,394,instancias/uniforme-alta/ALTA-197.txt
uniforme-alta,ALTA-198,198,396,instancias/uniforme-alta/ALTA-198.txt
uniforme-alta,ALTA-199,199,398,instancias/uniforme-alta/ALTA-199.txt
uniforme-alta,ALTA-200,200,400,instancias/uniforme-alta/ALTA-200.txt
