dataset,instancia,n,R,archivo
factibilidad-prom,PROM-F-80,80,160,instancias/factibilidad-prom/PROM-F-80.txt
factibilidad-prom,PROM-F-81,81,162,instancias/factibilidad-prom/PROM-F-81.txt
factibilidad-prom,PROM-F-82,82,164,instancias/factibilidad-prom/PROM-F-82.txt
factibilidad-prom,PROM-F-83,83,166,instancias/factibilidad-prom/PROM-F-83.txt
factibilidad-prom,PROM-F-84,84,168,instancias/factibilidad-prom/PROM-F-84.txt
factibilidad-prom,PROM-F-85,85,170,instancias/factibilidad-prom/PROM-F-85.txt
factibilidad-prom,PROM-F-86,86,172,instancias/factibilidad-prom/PROM-F-86.txt
factibilidad-prom,PROM-F-87,87,174,instancias/factibilidad-prom/PROM-F-87.txt
factibilidad-prom,PROM-F-88,88,176,instancias/factibilidad-prom/PROM-F-88.txt
factibilidad-prom,PROM-F-89,89,178,instancias/factibilidad-prom/PROM-F-89.txt
factibilidad-prom,PROM-F-90,90,180,instancias/factibilidad-prom/PROM-F-90.txt
factibilidad-prom,PROM-F-91,91,182,instancias/factibilidad-prom/PROM-F-91.txt
factibilidad-prom,PROM-F-92,92,184,instancias/factibilidad-prom/PROM-F-92.txt
factibilidad-prom,PROM-F-93,93,186,instancias/factibilidad-prom/PROM-F-93.txt
factibilidad-prom,PROM-F-94,94,188,instancias/factibilidad-prom/PROM-F-94.txt
factibilidad-prom,PROM-F-95,95,190,instancias/factibilidad-prom/PROM-F-95.txt
factibilidad-prom,PROM-F-96,96,192,instancias/factibilidad-prom/PROM-F-96.txt
factibilidad-prom,PROM-F-97,97,194,instancias/factibilidad-prom/PROM-F-97.txt
factibilidad-prom,PROM-F-98,98,196,instancias/factibilidad-prom/PROM-F-98.txt
factibilidad-prom,PROM-F-99,99,198,instancias/factibilidad-prom/PROM-F-99.txt
factibilidad-prom,PROM-F-100,100,200,instancias/factibilidad-prom/PROM-F-100.txt
factibilidad-prom,PROM-F-101,101,202,instancias/factibilidad-prom/PROM-F-101.txt
factibilidad-prom,PROM-F-102,102,204,instancias/factibilidad-prom/PROM-F-102.txt
factibilidad-prom,PROM-F-103,103,206,instancias/factibilidad-prom/PROM-F-103.txt
factibilidad-prom,PROM-F-104,104,208,instancias/factibilidad-prom/PROM-F-104.txt
factibilidad-prom,PROM-F-105,105,210,instancias/factibilidad-prom/PROM-F-105.txt
factibilidad-prom,PROM-F-106,106,212,instancias/factibilidad-prom/PROM-F-106.txt
factibilidad-prom,PROM-F-107,107,214,instancias/factibilidad-prom/PROM-F-107.txt
factibilidad-prom,PROM-F-108,108,216,instancias/factibilidad-prom/PROM-F-108.txt
factibilidad-prom,PROM-F-109,109,218,instancias/factibilidad-prom/PROM-F-109.txt
factibilidad-prom,PROM-F-110,110,220,instancias/factibilidad-prom/PROM-F-110.txt
factibilidad-prom,PROM-F-111,111,222,instancias/factibilidad-prom/PROM-F-111.txt
factibilidad-prom,PROM-F-112,112,224,instancias/factibilidad-prom/PROM-F-112.txt
factibilidad-prom,PROM-F-113,113,226,instancias/factibilidad-prom/PROM-F-113.txt
factibilidad-prom,PROM-F-114,114,228,instancias/factibilidad-prom/PROM-F-114.txt
factibilidad-prom,PROM-F-115,115,230,instancias/factibilidad-prom/PROM-F-115.txt
factibilidad-prom,PROM-F-116,116,232,instancias/factibilidad-prom/PROM-F-116.txt
factibilidad-prom,PROM-F-117,117,234,instancias/factibilidad-prom/PROM-F-117.txt
factibilidad-prom,PROM-F-118,118,236,instancias/factibilidad-prom/PROM-F-118.txt
factibilidad-prom,PROM-F-119,119,238,instancias/factibilidad-prom/PROM-F-119.txt
factibilidad-prom,PROM-F-120,120,240,instancias/factibilidad-prom/PROM-F-120.txt
factibilidad-prom,PROM-F-121,121,242,instancias/factibilidad-prom/PROM-F-121.txt
factibilidad-prom,PROM-F-122,122,244,instancias/factibilidad-prom/PROM-F-122.txt
factibilidad-prom,PROM-F-123,123,246,instancias/factibilidad-prom/PROM-F-123.txt
factibilidad-prom,PROM-F-124,124,248,instancias/factibilidad-prom/PROM-F-124.txt
factibilidad-prom,PROM-F-125,125,250,instancias/factibilidad-prom/PROM-F-125.txt
factibilidad-prom,PROM-F-126,126,252,instancias/factibilidad-prom/PROM-F-126.txt
factibilidad-prom,PROM-F-127,127,254,instancias/factibilidad-prom/PROM-F-127.txt
factibilidad-prom,PROM-F-128,128,256,instancias/factibilidad-prom/PROM-F-128.txt
factibilidad-prom,PROM-F-129,129,258,instancias/factibilidad-prom/PROM-F-129.txt
factibilidad-prom,PROM-F-130,130,260,instancias/factibilidad-prom/PROM-F-130.txt
factibilidad-prom,PROM-F-131,131,262,instancias/factibilidad-prom/PROM-F-131.txt
factibilidad-prom,PROM-F-132,132,264,instancias/factibilidad-prom/PROM-F-132.txt
factibilidad-prom,PROM-F-133,133,266,instancias/factibilidad-prom/PROM-F-133.txt
factibilidad-prom,PROM-F-134,134,268,instancias/factibilidad-prom/PROM-F-134.txt
factibilidad-prom,PROM-F-135,135,270,instancias/factibilidad-prom/PROM-F-135.txt
factibilidad-prom,PROM-F-136,136,272,instancias/factibilidad-prom/PROM-F-136.txt
factibilidad-prom,PROM-F-137,137,274,instancias/factibilidad-prom/PROM-F-137.txt
factibilidad-prom,PROM-F-138,138,276,instancias/factibilidad-prom/PROM-F-138.txt
factibilidad-prom,PROM-F-139,139,278,instancias/factibilidad-prom/PROM-F-139.txt
factibilidad-prom,PROM-F-140,140,280,instancias/factibilidad-prom/PROM-F-140.txt
factibilidad-prom,PROM-F-141,141,282,instancias/factibilidad-prom/PROM-F-141.txt
factibilidad-prom,PROM-F-142,142,284,instancias/factibilidad-prom/PROM-F-142.txt
factibilidad-prom,PROM-F-143,143,286,instancias/factibilidad-prom/PROM-F-143.txt
factibilidad-prom,PROM-F-144,144,288,instancias/factibilidad-prom/PROM-F-144.txt
factibilidad-prom,PROM-F-145,145,290,instancias/factibilidad-prom/PROM-F-145.txt
factibilidad-prom,PROM-F-146,146,292,instancias/factibilidad-prom/PROM-F-146.txt
factibilidad-prom,PROM-F-147,147,294,instancias/factibilidad-prom/PROM-F-147.txt
factibilidad-prom,PROM-F-148,148,296,instancias/factibilidad-prom/PROM-F-148.txt
factibilidad-prom,PROM-F-149,149,298,instancias/factibilidad-prom/PROM-F-149.txt
factibilidad-prom,PROM-F-150,150,300,instancias/factibilidad-prom/PROM-F-150.txt
factibilidad-prom,PROM-F-151,151,302,instancias/factibilidad-prom/PROM-F-151.txt
factibilidad-prom,PROM-F-152,152,304,instancias/factibilidad-prom/PROM-F-152.txt
factibilidad-prom,PROM-F-153,153,306,instancias/factibilidad-prom/PROM-F-153.txt
factibilidad-prom,PROM-F-154,154,308,instancias/factibilidad-prom/PROM-F-154.txt
factibilidad-prom,PROM-F-155,155,310,instancias/factibilidad-prom/PROM-F-155.txt
factibilidad-prom,PROM-F-156,156,312,instancias/factibilidad-prom/PROM-F-156.txt
factibilidad-prom,PROM-F-157,157,314,instancias/factibilidad-prom/PROM-F-157.txt
factibilidad-prom,PROM-F-158,158,316,instancias/factibilidad-prom/PROM-F-158.txt
factibilidad-prom,PROM-F-159,159,318,instancias/factibilidad-prom/PROM-F-159.txt
factibilidad-prom,PROM-F-160,160,320,instancias/factibilidad-prom/PROM-F-160.txt
factibilidad-prom,PROM-F-161,161,322,instancias/factibilidad-prom/PROM-F-161.txt
factibilidad-prom,PROM-F-162,162,324,instancias/factibilidad-prom/PROM-F-162.txt
factibilidad-prom,PROM-F-163,163,326,instancias/factibilidad-prom/PROM-F-163.txt
factibilidad-prom,PROM-F-164,164,328,instancias/factibilidad-prom/PROM-F-164.txt
factibilidad-prom,PROM-F-165,165,330,instancias/factibilidad-prom/PROM-F-165.txt
factibilidad-prom,PROM-F-166,166,332,instancias/factibilidad-prom/PROM-F-166.txt
factibilidad-prom,PROM-F-167,167,334,instancias/factibilidad-prom/PROM-F-167.txt
factibilidad-prom,PROM-F-168,168,336,instancias/factibilidad-prom/PROM-F-168.txt
factibilidad-prom,PROM-F-169,169,338,instancias/factibilidad-prom/PROM-F-169.txt
factibilidad-prom,PROM-F-170,170,340,instancias/factibilidad-prom/PROM-F-170.txt
factibilidad-prom,PROM-F-171,171,342,instancias/factibilidad-prom/PROM-F-171.txt
factibilidad-prom,PROM-F-172,172,344,instancias/factibilidad-prom/PROM-F-172.txt
factibilidad-prom,PROM-F-173,173,346,instancias/factibilidad-prom/PROM-F-173.txt
factibilidad-prom,PROM-F-174,174,348,instancias/factibilidad-prom/PROM-F-174.txt
factibilidad-prom,PROM-F-175,175,350,instancias/factibilidad-prom/PROM-F-175.txt
factibilidad-prom,PROM-F-176,176,352,instancias/factibilidad-prom/PROM-F-176.txt
factibilidad-prom,PROM-F-177,177,354,instancias/factibilidad-prom/PROM-F-177.txt
factibilidad-prom,PROM-F-178,178,356,instancias/factibilidad-prom/PROM-F-178.txt
factibilidad-prom,PROM-F-179,179,358,instancias/factibilidad-prom/PROM-F-179.txt
factibilidad-prom,PROM-F-180,180,360,instancias/factibilidad-prom/PROM-F-180.txt
factibilidad-prom,PROM-F-181,181,362,instancias/factibilidad-prom/PROM-F-181.txt
factibilidad-prom,PROM-F-182,182,364,instancias/factibilidad-prom/PROM-F-182.txt
factibilidad-prom,PROM-F-183,183,366,instancias/factibilidad-prom/PROM-F-183.txt
factibilidad-prom,PROM-F-184,184,368,instancias/factibilidad-prom/PROM-F-184.txt
factibilidad-prom,PROM-F-185,185,370,instancias/factibilidad-prom/PROM-F-185.txt
factibilidad-prom,PROM-F-186,186,372,instancias/factibilidad-prom/PROM-F-186.txt
factibilidad-prom,PROM-F-187,187,374,instancias/factibilidad-prom/PROM-F-187.txt
factibilidad-prom,PROM-F-188,188,376,instancias/factibilidad-prom/PROM-F-188.txt
factibilidad-prom,PROM-F-189,189,378,instancias/factibilidad-prom/PROM-F-189.txt
factibilidad-prom,PROM-F-190,190,380,instancias/factibilidad-prom/PROM-F-190.txt
factibilidad-prom,PROM-F-191,191,382,instancias/factibilidad-prom/PROM-F-191.txt
factibilidad-prom,PROM-F-192,192,384,instancias/factibilidad-prom/PROM-F-192.txt
factibilidad-prom,PROM-F-193,193,386,instancias/factibilidad-prom/PROM-F-193.txt
factibilidad-prom,PROM-F-194,194,388,instancias/factibilidad-prom/PROM-F-194.txt
factibilidad-prom,PROM-F-195,195,390,instancias/factibilidad-prom/PROM-F-195.txt
factibilidad-prom,PROM-F-196,196,392,instancias/factibilidad-prom/PROM-F-196.txt
factibilidad-prom,PROM-F-197,197,394,instancias/factibilidad-prom/PROM-F-197.txt
factibilidad-prom,PROM-F-198,198,396,instancias/factibilidad-prom/PROM-F-198.txt
factibilidad-prom,PROM-F-199,199,398,instancias/factibilidad-prom/PROM-F-199.txt
factibilidad-prom,PROM-F-200,200,400,instancias/factibilidad-prom/PROM-F-200.txt
